company;language;report_type;year;link
Tecan Group AG;EN;AR;2019;"https://ww3.tecan.com/mandant/files/doc/44/200316_Tecan_GB2019_EN.pdf"
Tecan Group AG;EN;AR;2018;"https://ww3.tecan.com/mandant/files/doc/44/190325_Tecan_GB2018_EN.pdf"
Tecan Group AG;EN;AR;2017;"https://ww3.tecan.com/mandant/files/doc/44/180326_Tecan_GB2017_EN.pdf"
Tecan Group AG;EN;AR;2016;"https://ww3.tecan.com/mandant/files/doc/44/170320_Tecan_GB2016_EN.pdf"
Tecan Group AG;EN;AR;2015;"https://ww3.tecan.com/platform/content/element/45767/160323_Tecan_GB2015_EN.pdf"
Tecan Group AG;EN;AR;2014;"https://ww3.tecan.com/platform/content/element/15822/150327_Tecan_GB2014_EN.pdf"
Tecan Group AG;EN;AR;2013;"https://ww3.tecan.com/platform/content/element/13607/140325_TECAN_GB2013_EN.pdf"
Tecan Group AG;EN;AR;2012;"https://ww3.tecan.com/platform/content/element/12112/130327_Tecan_Annual_Report_EN.pdf"
Tecan Group AG;EN;AR;2011;"https://ww3.tecan.com/platform/content/element/9770/120326_Tecan_Geschaeftsbericht_EN_Web.pdf"
Tecan Group AG;EN;AR;2010;"https://ww3.tecan.com/platform/content/element/7150/Tecan_AR2010_E.pdf"
Tecan Group AG;EN;AR;2009;"https://ww3.tecan.com/platform/content/element/6378/Tecan_Annual_Report_2009_E.pdf"
Tecan Group AG;EN;AR;2008;"https://ww3.tecan.com/mandant/files/doc/44/Tecan_Annual%20Report%202008.pdf"
Tecan Group AG;EN;AR;2007;"https://ww3.tecan.com/platform/content/element/4325/Tecan_AnnualReport_2007_e.pdf"
Tecan Group AG;EN;AR;2006;"https://ww3.tecan.com/platform/content/element/3061/Tecan_AnnualReport_2006_e.pdf"
Tecan Group AG;DE;AR;2019;"https://ww3.tecan.com/mandant/files/doc/45/200316_Tecan_GB2019_DE.pdf"
Tecan Group AG;DE;AR;2018;"https://ww3.tecan.com/mandant/files/doc/45/190325_Tecan_GB2018_DE.pdf"
Tecan Group AG;DE;AR;2017;"https://ww3.tecan.com/mandant/files/doc/45/180326_Tecan_GB2017_DE.pdf"
Tecan Group AG;DE;AR;2016;"https://ww3.tecan.com/mandant/files/doc/45/170320_Tecan_GB2016_DE.pdf"
Tecan Group AG;DE;AR;2015;"https://ww3.tecan.com/platform/content/element/45766/160323_Tecan_GB2015_DE.pdf"
Tecan Group AG;DE;AR;2014;"https://ww3.tecan.com/platform/content/element/15821/150327_Tecan_GB2014_DE.pdf"
Tecan Group AG;DE;AR;2013;"https://ww3.tecan.com/platform/content/element/13608/140325_TECAN_GB2013_DE.pdf"
Tecan Group AG;DE;AR;2012;"https://ww3.tecan.com/platform/content/element/12111/130327_Tecan_Geschaeftsbericht_DE.pdf"
Tecan Group AG;DE;AR;2011;"https://ww3.tecan.com/platform/content/element/9769/120326_Tecan_Geschaeftsbericht_DE_Web.pdf"
Tecan Group AG;DE;AR;2010;"https://ww3.tecan.com/platform/content/element/7151/Tecan_GB2010_D.pdf"
Tecan Group AG;DE;AR;2009;"https://ww3.tecan.com/platform/content/element/6379/Tecan_Gesch%C3%A4ftsbericht_2009_D.pdf"
Tecan Group AG;DE;AR;2008;"https://ww3.tecan.com/platform/content/element/5513/Tecan_Gesch%C3%91ftsbericht%202008.pdf"
Tecan Group AG;DE;AR;2007;"https://ww3.tecan.com/platform/content/element/4326/Tecan_AnnualReport_2007_g.pdf"
Tecan Group AG;DE;AR;2006;"https://ww3.tecan.com/platform/content/element/3063/Tecan_AnnualReport_2006_g.pdf"
