company;language;report_type;year;link
Temenos;EN;AR;2018;"https://www.temenos.com/wp-content/uploads/2019/07/2018-annual-report-2019-mar-26.pdf"
Temenos;EN;AR;2017;"https://www.temenos.com/wp-content/uploads/2019/07/2017-annual-report-2018-mar-26.pdf"
Temenos;EN;AR;2016;"https://www.temenos.com/wp-content/uploads/2019/07/2016-annual-report-2017-mar-17.pdf"
Temenos;EN;AR;2015;"https://www.temenos.com/wp-content/uploads/2019/07/2015-annual-report-2016-mar-21.pdf"
Temenos;EN;AR;2014;"https://www.temenos.com/wp-content/uploads/2019/07/2014-annual-report-2015-mar-11.pdf"
Temenos;EN;AR;2013;"https://www.temenos.com/wp-content/uploads/2019/07/2013-annual-report-2014-mar-25.pdf"
Temenos;EN;AR;2012;"https://www.temenos.com/wp-content/uploads/2019/07/2012-annual-report-2013-apr-19.pdf"
Temenos;EN;CR;2011;"https://www.temenos.com/wp-content/uploads/2019/07/compensation-report-2012-dec-31.pdf"
Temenos;EN;AR;2011;"https://www.temenos.com/wp-content/uploads/2019/07/2011-annual-report-2012-mar.pdf"
Temenos;EN;AR;2010;"https://www.temenos.com/wp-content/uploads/2019/07/2010-annual-report-2011-mar.pdf"
Temenos;EN;AR;2009;"https://www.temenos.com/wp-content/uploads/2019/07/2009-annual-report-2010-mar.pdf"
Temenos;EN;AR;2008;"https://www.temenos.com/wp-content/uploads/2019/07/2008-annual-report-2009-mar.pdf"
Temenos;EN;AR;2007;"https://www.temenos.com/wp-content/uploads/2019/07/2007-annual-report-2008-mar.pdf"
Temenos;EN;AR;2006;"https://www.temenos.com/wp-content/uploads/2019/07/2006-annual-report-2007-mar.pdf"
Temenos;EN;AR;2005;"https://www.temenos.com/wp-content/uploads/2019/07/2005-annual-report-2006-mar.pdf"
Temenos;EN;AR;2003;"https://www.temenos.com/wp-content/uploads/2019/07/2003-annual-report-2004-mar.pdf"
Temenos;EN;AR;2002;"https://www.temenos.com/wp-content/uploads/2019/07/2002-annual-report-2003-mar.pdf"
Temenos;EN;AR;2001;"https://www.temenos.com/wp-content/uploads/2019/07/2001-annual-report-2002-mar.pdf"
