company;language;report_type;year;link
Vifor Pharma AG;EN;AR;2019;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2019/vifor-pharma-annual-report-2019-en.pdf"
Vifor Pharma AG;EN;AR;2018;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2018/annual-report-2018-en-web.pdf"
Vifor Pharma AG;EN;AR;2017;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2017/Vifor_Pharma_Annual_Report_2017_Full_Version.pdf"
Vifor Pharma AG;EN;AR;2016;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2016/gal_gb_16_gesamt_vv_en_v2.pdf"
Vifor Pharma AG;EN;AR;2015;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2016/20160309_en_gal_gb_15_gesamt.pdf"
Vifor Pharma AG;EN;AR;2014;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2015/150305_EN_GB_14_Gesamt_.pdf"
Vifor Pharma AG;EN;AR;2013;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/en/investors/corporate-reports/2014/20140306_en_galenica_annual_report_2013.pdf"
Vifor Pharma AG;DE;AR;2016;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/de/investors/corporate-reports/2016/Gal_GB_16_Gesamt_VV_DE.pdf"
Vifor Pharma AG;DE;AR;2015;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/de/investors/corporate-reports/2016/20160309_de_gal_gb_15_gesamt.pdf"
Vifor Pharma AG;DE;AR;2014;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/de/investors/corporate-reports/2015/150305_DE_GB_Gesamt.pdf"
Vifor Pharma AG;DE;AR;2013;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/de/investors/corporate-reports/2014/20140306_de_galenica_geschaeftsbericht_2013.pdf"
Vifor Pharma AG;FR;AR;2016;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/fr/investors/corporate-reports/2016/Gal_GB_16_Gesamt_VV_FR.pdf"
Vifor Pharma AG;FR;AR;2015;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/fr/investors/corporate-reports/2016/20160309_fr_gal_gb_15_gesamt.pdf"
Vifor Pharma AG;FR;AR;2014;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/fr/investors/corporate-reports/2015/150305_FR_GB_14_Gesamt.pdf"
Vifor Pharma AG;FR;AR;2013;"https://www.viforpharma.com/~/media/Files/V/Vifor-Pharma/documents/fr/investors/corporate-reports/2014/20140306_fr_galenica_rapport_annuel_2013.pdf"
