company;language;report_type;year;link
Zuger Kantonalbank;DE;AR;2019;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zugerkb-gb19.pdf?sfvrsn=2b1bea8c_3"
Zuger Kantonalbank;DE;FR;2019;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2019.pdf"
Zuger Kantonalbank;EN;RV;2019;"https://www.zugerkb.ch/docs/default-source/die-zgkb/review-2019.pdf"
Zuger Kantonalbank;DE;AR;2018;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zugerkb-gb18.pdf"
Zuger Kantonalbank;DE;FR;2018;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2018.pdf"
Zuger Kantonalbank;EN;RV;2018;"https://www.zugerkb.ch/docs/default-source/die-zgkb/review-2018.pdf"
Zuger Kantonalbank;DE;AR;2017;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zugerkb-gb17.pdf"
Zuger Kantonalbank;DE;FR;2017;"https://www.zugerkb.ch/docs/default-source/die-zgkb/2018-01-23-kurzbericht-jahresabschluss-2017.pdf"
Zuger Kantonalbank;DE;RV;2017;"https://www.zugerkb.ch/docs/default-source/die-zgkb/2018-10-23-review-2017.pdf"
Zuger Kantonalbank;DE;AR;2016;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zugerkb_gb16.pdf"
Zuger Kantonalbank;DE;FR;2016;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2016.pdf"
Zuger Kantonalbank;EN;RV;2016;"https://www.zugerkb.ch/docs/default-source/die-zgkb/Review-2016.pdf"
Zuger Kantonalbank;DE;AR;2015;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zugerkb_gb2015_gesamt.pdf"
Zuger Kantonalbank;DE;FR;2015;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2015.pdf"
Zuger Kantonalbank;EN;RV;2015;"https://www.zugerkb.ch/docs/default-source/die-zgkb/review-2015.pdf"
Zuger Kantonalbank;DE;AR;2014;"https://www.zugerkb.ch/docs/default-source/die-zgkb/zkb-gesch%C3%A4ftsbericht-2014.pdf?sfvrsn=f1d468c_8"
Zuger Kantonalbank;DE;FR;2014;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2014.pdf?sfvrsn=fe7d468c_4"
Zuger Kantonalbank;EN;FR;2014;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2014-englisch.pdf?sfvrsn=957d468c_4"
Zuger Kantonalbank;DE;AR;2013;"https://www.zugerkb.ch/docs/default-source/die-zgkb/gesch%C3%A4ftsbericht-2013.pdf?sfvrsn=6040458c_2"
Zuger Kantonalbank;DE;FR;2013;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-20135e732e1cd1336bc89672ff0000904e58.pdf?sfvrsn=7040458c_0"
Zuger Kantonalbank;EN;FR;2013;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2013-en.pdf?sfvrsn=4240458c_0"
Zuger Kantonalbank;DE;AR;2012;"https://www.zugerkb.ch/docs/default-source/die-zgkb/gesch%C3%A4ftsbericht-2012.pdf?sfvrsn=d540458c_0"
Zuger Kantonalbank;DE;FR;2012;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2012-de.pdf?sfvrsn=2947458c_0"
Zuger Kantonalbank;EN;FR;2012;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2012-en.pdf?sfvrsn=3a47458c_0"
Zuger Kantonalbank;DE;AR;2011;"https://www.zugerkb.ch/docs/default-source/die-zgkb/geschaeftsbericht-2011-de.pdf?sfvrsn=7047458c_2"
Zuger Kantonalbank;DE;FR;2011;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2011-de.pdf?sfvrsn=5447458c_0"
Zuger Kantonalbank;EN;FR;2011;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2011-en.pdf?sfvrsn=a847458c_0"
Zuger Kantonalbank;DE;AR;2010;"https://www.zugerkb.ch/docs/default-source/die-zgkb/geschaeftsbericht-2010-de.pdf?sfvrsn=81b2458c_2"
Zuger Kantonalbank;DE;FR;2010;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2010-de.pdf?sfvrsn=95b2458c_0"
Zuger Kantonalbank;DE;AR;2009;"https://www.zugerkb.ch/docs/default-source/die-zgkb/geschaeftsbericht-2009-de.pdf?sfvrsn=d3b2458c_2"
Zuger Kantonalbank;DE;FR;2009;"https://www.zugerkb.ch/docs/default-source/die-zgkb/jahresabschluss-2009-de.pdf?sfvrsn=24b1458c_0"
