company;language;report_type;year;link
Zurich Insurance Group AG;DE;AR;2017;"https://annualreports.zurich.com/2017/de/geschaeftsbericht/serviceseiten/downloads/files/gesamt_zurich_gb2017.pdf"
Zurich Insurance Group AG;EN;AR;2017;"https://annualreports.zurich.com/2017/en/annual-report/servicepages/downloads/files/entire_zurich_ar2017.pdf"
Zurich Insurance Group AG;DE;AR;2016;"https://annualreports.zurich.com/2016/de/geschaeftsbericht/serviceseiten/downloads/files/gesamt_zurich_gb2016.pdf"
Zurich Insurance Group AG;EN;AR;2016;"https://annualreports.zurich.com/2016/en/annual-report/servicepages/downloads/files/entire_zurich_ar2016.pdf"
Zurich Insurance Group AG;DE;AR;2015;"https://annualreports.zurich.com/2015/de/geschaeftsbericht/serviceseiten/downloads/files/gesamt_zurich_gb2015.pdf"
Zurich Insurance Group AG;EN;AR;2015;"https://annualreports.zurich.com/2015/en/annual-report/servicepages/downloads/files/entire_zurich_ar2015.pdf"
Zurich Insurance Group AG;DE;AR;2018;"https://annualreports.zurich.com/2018/de/geschaeftsbericht/serviceseiten/downloads/files/gesamt_zurich_gb2018.pdf"
Zurich Insurance Group AG;EN;AR;2018;"https://annualreports.zurich.com/2018/en/annual-report/servicepages/downloads/files/entire_zurich_ar2018.pdf"
Zurich Insurance Group AG;DE;AR;2014;"https://www.zurich.com/en/investor-relations/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2014/annual-report-2014.pdf?la=de-de&hash=628FDCED7C785C6984A9BED2C463E80C"
Zurich Insurance Group AG;EN;AR;2014;"https://www.zurich.com/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2014/annual-report-2014.pdf?la=en&hash=D2F18D6B4BF118E7FB333748D7533604"
Zurich Insurance Group AG;FR;AR;2013;"https://www.zurich.com/en/investor-relations/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2013/annual-report-2013.pdf?la=fr-fr&hash=6D55333FD916457F899DDA9CE8A9F395"
Zurich Insurance Group AG;DE;AR;2013;"https://www.zurich.com/en/investor-relations/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2013/annual-report-2013.pdf?la=de-de&hash=E3D3B02FF568220CAAF6F4255DD641B9"
Zurich Insurance Group AG;EN;AR;2013;"https://www.zurich.com/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2013/annual-report-2013.pdf?la=en&hash=CD24E4D89873B51CBBEDA51EA0141A5C"
Zurich Insurance Group AG;FR;AR;2012;"https://www.zurich.com/en/investor-relations/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2012/annual-report-2012.pdf?la=fr-fr&hash=14A6A51AA133591BC8917CE4E2C93FA0"
Zurich Insurance Group AG;DE;AR;2012;"https://www.zurich.com/en/investor-relations/-/media/project/zurich/dotcom/investor-relations/docs/financial-reports/2012/annual-report-2012.pdf?la=de-de&hash=7C492DEFAED035222F74850DFC0A1FB0"
