company;language;report_type;year;link
Zürcher Kantonalbank;DE;AR;2016;"https://www.zkb.ch/media/pub/coporate/jahresbericht/geschaeftsbericht-2016-223587.pdf"
Zürcher Kantonalbank;DE;AR;2015;"https://www.zkb.ch/media/pub/coporate/jahresbericht/geschaeftsbericht-2015.pdf"
Zürcher Kantonalbank;DE;AR;2014;"https://www.zkb.ch/media/pub/coporate/jahresbericht/gesamtausgabe-2014-221963.pdf"
Zürcher Kantonalbank;DE;AR;2013;"https://www.zkb.ch/media/pub/coporate/jahresbericht/gesamtausgabe-2013-221243.pdf"
Zürcher Kantonalbank;DE;SR;2016;"https://www.zkb.ch/media/pub/coporate/jahresbericht/nachhaltigkeitsbericht-2016.pdf"
Zürcher Kantonalbank;DE;SR;2015;"https://www.zkb.ch/media/pub/coporate/jahresbericht/nachhaltigkeitsbericht-2015.pdf"
Zürcher Kantonalbank;DE;SR;2014;"https://www.zkb.ch/media/pub/coporate/jahresbericht/nachhaltigkeitsbericht-2014.pdf"
Zürcher Kantonalbank;DE;SR;2013;"https://www.zkb.ch/media/pub/coporate/jahresbericht/nachhaltigkeitsbericht-2013.pdf"
Zürcher Kantonalbank;DE;AR;2017;"https://www.zkb.ch/media/pub/coporate/jahresbericht/geschaeftsbericht-2017.pdf"
Zürcher Kantonalbank;DE;SR;2017;"https://www.zkb.ch/media/pub/coporate/jahresbericht/nachhaltigkeitsbericht-2017.pdf"
Zürcher Kantonalbank;DE;AR;2018;"https://www.zkb.ch/media/pub/coporate/jahresbericht/geschaeftsbericht-2018.pdf"
Zürcher Kantonalbank;DE;AR;2019;"https://www.zkb.ch/media/pub/coporate/jahresbericht/geschaeftsbericht-2019.pdf"
