company;language;report_type;year;link
ams AG;EN;AR;2018;"https://ams.com/documents/20143/83504/ams+Annual+Report+2018+complete.pdf"
ams AG;DE;AR;2018;"https://ams.com/documents/20143/83508/ams+Gesch%C3%A4ftsbericht+2018+komplett.pdf"
ams AG;EN;AR;2017;"https://ams.com/documents/20143/83420/ams+annual+report+2017+complete.pdf"
ams AG;DE;AR;2017;"https://ams.com/documents/20143/83416/ams+Geschaeftsbericht+2017+komplett.pdf"
ams AG;EN;AR;2016;"https://ams.com/documents/20143/83265/Annual+Report+ams+2016+complete+240417+f.pdf"
ams AG;DE;AR;2016;"https://ams.com/documents/20143/83269/Gescha%CC%88ftsbericht+ams+2016+komplett+24042017+f.pdf"
ams AG;EN;AR;2015;"https://ams.com/documents/20143/83109/ams_Annual_Report_2015_Full_25042016.pdf"
ams AG;DE;AR;2015;"https://ams.com/documents/20143/83105/ams_Geschaeftsbericht_2015_Gesamt_2542016.pdf"
ams AG;EN;AR;2014;"https://ams.com/documents/20143/82929/ams_Annual_Report_2014_Full_27042015.pdf"
ams AG;DE;AR;2014;"https://ams.com/documents/20143/82925/ams_Geschaeftsbericht_2014_Gesamt_27042015.pdf"
ams AG;EN;AR;2013;"https://ams.com/documents/20143/82738/ams+Annual+report+2013_20140428.pdf"
ams AG;DE;AR;2013;"https://ams.com/documents/20143/82734/ams+Gesch%C3%A4ftsbericht+2013_20140428.pdf"
ams AG;EN;AR;2012;"https://ams.com/documents/20143/82543/ams+Annual+Report+2012+full_ff+260413.pdf"
ams AG;DE;AR;2012;"https://ams.com/documents/20143/82539/ams+Geschaeftsbericht+2012+komplett_f+260413.pdf"
ams AG;EN;AR;2011;"https://ams.com/documents/20143/82307/Report_on_2011_Complete_160512+_f.pdf"
ams AG;DE;AR;2011;"https://ams.com/documents/20143/82311/Bericht_%C3%BCber_2011_Gesamt_160512_f.pdf"
ams AG;EN;AR;2010;"https://ams.com/documents/20143/82120/Annual_Report_2010_Full_28042011_f.pdf"
ams AG;DE;AR;2010;"https://ams.com/documents/20143/82116/Geschaeftsbericht_2010_Gesamt_28042011_f.pdf"
ams AG;EN;AR;2009;"https://ams.com/documents/20143/81910/AR09_full_f_13_04_2010.pdf"
ams AG;DE;AR;2009;"https://ams.com/documents/20143/81902/GB09_gesamt_f_13_04_2010.pdf"
ams AG;EN;AR;2008;"https://ams.com/documents/20143/81716/Annual_Report_2008.pdf"
ams AG;DE;AR;2008;"https://ams.com/documents/20143/81712/Geschaeftsbericht_2008.pdf"
ams AG;EN;AR;2007;"https://ams.com/documents/20143/81448/AMS_GB07_Annual+Report_e.pdf"
ams AG;DE;AR;2007;"https://ams.com/documents/20143/81444/AMS_GB07_Geschaeftsbericht_dt.pdf"
ams AG;EN;AR;2006;"https://ams.com/documents/20143/81246/Annual_Report_2006_complete.pdf"
ams AG;DE;AR;2006;"https://ams.com/documents/20143/81242/Geschaeftsbericht_2006_komplett.pdf"
ams AG;EN;AR;2005;"https://ams.com/documents/20143/79437/AMS_GB_E_gesamt.pdf"
ams AG;DE;AR;2005;"https://ams.com/documents/20143/79441/AMS_GB_D_gesamt.pdf"
ams AG;EN;AR;2004;"https://ams.com/documents/20143/79234/AMS_E_010705.pdf"
ams AG;DE;AR;2004;"https://ams.com/documents/20143/79238/AMS_D_010705.pdf"
ams AG;EN;AR;2003;"https://ams.com/documents/20143/79051/Annual_rep_2003_e.pdf"
ams AG;DE;AR;2003;"https://ams.com/documents/20143/79051/Gesch_ber_2003_dt.pdf"
ams AG;EN;AR;2019;"https://ams.com/documents/20143/2234347/ams+AG+Annual+Report+2019.pdf"
ams AG;DE;AR;2019;"https://ams.com/documents/20143/2234347/ams+AG+Gesch%C3%A4ftsbericht+2019.pdf"
