company;language;report_type;year;link
dormakaba Holding AG;EN;AR;2018;"https://report.dormakaba.com/app/uploads/sites/2/2018/09/Annual_Report.pdf"
dormakaba Holding AG;EN;SR;2018;"https://report.dormakaba.com/app/uploads/sites/2/2018/09/Sustainability_Report.pdf"
dormakaba Holding AG;EN;AR;2017;"https://www.dormakaba.com/resource/blob/90466/3964e57a388b8b55b03cfa79c8c1d78a/annual-report-fy-2016-2017-en-data.pdf"
dormakaba Holding AG;EN;AR;2016;"https://www.dormakaba.com/resource/blob/17416/5aeac1678312ce4223c1cc8631ecba16/annual-report-fy-2015-2016-data.pdf"
dormakaba Holding AG;EN;AR;2015;"https://www.dormakaba.com/resource/blob/5006/764cd8ed1c806332e20532dd4cc5bfd0/annual-report-financial-statements-corporate-governance-and-compensation-2014-2015-de-data.pdf"
dormakaba Holding AG;EN;AR;2014;"https://www.dormakaba.com/resource/blob/5000/9d79f3d2bd0f24eea9e9e987fe87fd34/annual-report-financial-statements-corporate-governance-and-compensation-2013-2014-de-data.pdf"
dormakaba Holding AG;EN;AR;2013;"https://www.dormakaba.com/resource/blob/5020/023eb473da67355bf54da7c8d561eedd/annual-report-financial-statements-corporate-governance-and-compensation-2012-2013-de-data.pdf"
dormakaba Holding AG;EN;AR;2012;"https://www.dormakaba.com/resource/blob/4974/6be849229d3c3a881fc1781e154cb911/geschaeftsbericht-2011-2012-de-data.pdf"
dormakaba Holding AG;EN;AR;2011;"https://www.dormakaba.com/resource/blob/4974/6be849229d3c3a881fc1781e154cb911/geschaeftsbericht-2011-2012-de-data.pdf"
dormakaba Holding AG;EN;AR;2010;"https://www.dormakaba.com/resource/blob/4968/a028f600fe6cd0850a1c8ef9e788ff82/geschaeftsbericht-2010-2011-de-data.pdf"
dormakaba Holding AG;EN;AR;2009;"https://www.dormakaba.com/resource/blob/4976/1fab92a724d96135d42d2db80ef90468/geschaeftsbericht-2009-2010-de-data.pdf"
dormakaba Holding AG;EN;AR;2008;"https://www.dormakaba.com/resource/blob/4992/a3c74e545994a7caa1d9d15ea4291561/geschaeftsbericht-2007-2008-de-data.pdf"
dormakaba Holding AG;EN;AR;2007;"https://www.dormakaba.com/resource/blob/4990/40bcd1e9bc2b72262decc03626c68989/geschaeftsbericht-2006-2007-de-data.pdf"
dormakaba Holding AG;EN;AR;2006;"https://www.dormakaba.com/resource/blob/4980/3a31e4a5e5a93131f4cac5ad64470643/geschaeftsbericht-2005-2006-de-data.pdf"
dormakaba Holding AG;EN;AR;2005;"https://www.dormakaba.com/resource/blob/4982/0be956e022a2654aee95038a1c7c4b91/geschaeftsbericht-2004-2005-de-data.pdf"
dormakaba Holding AG;EN;AR;2004;"https://www.dormakaba.com/resource/blob/4978/53d8dfe49956599ed2f0813313d9c8b8/geschaeftsbericht-2003-2004-de-data.pdf"
dormakaba Holding AG;EN;AR;2003;"https://www.dormakaba.com/resource/blob/4972/714475ed1feebc92ad2e5eabe8ae5049/geschaeftsbericht-2002-2003-de-data.pdf"
dormakaba Holding AG;EN;AR;2002;"https://www.dormakaba.com/resource/blob/4970/0ab154be8b4bdde0d14ab9cb2a619633/geschaeftsbericht-2001-2002-de-data.pdf"
dormakaba Holding AG;EN;AR;2001;"https://www.dormakaba.com/resource/blob/4960/1d1c0f85e2b9ae7cc44b04916f8621a1/geschaeftsbericht-2000-2001-de-data.pdf"
dormakaba Holding AG;EN;AR;2000;"https://www.dormakaba.com/resource/blob/4964/fb95dd19efaa9cfb828ca2d4cbb3f9fe/geschaeftsbericht-1999-2000-de-data.pdf"
dormakaba Holding AG;EN;AR;1999;"https://www.dormakaba.com/resource/blob/4966/a6c14948ffb084b156c421b65e734d6d/geschaeftsbericht-1998-1999-de-data.pdf"
dormakaba Holding AG;EN;SR;2019;"https://report.dormakaba.com/2018_19/app/uploads/Sustainability-Report-2018-_-2019_en.pdf"
dormakaba Holding AG;EN;AR;2019;"https://report.dormakaba.com/2018_19/app/uploads/Annual-Report-2018-_-2019_en.pdf"
