company;language;report_type;year;link
u-blox Holding AG;EN;AR;2019;"https://www.u-blox.com/sites/default/files/documents/Full%20Annual%20Report%202019.pdf"
u-blox Holding AG;EN;CG;2019;"https://www.u-blox.com/sites/default/files/documents/Corporate%20Governance%202019.pdf"
u-blox Holding AG;EN;FR;2018;"https://www.u-blox.com/sites/default/files/documents/Financial_Report_2018.pdf"
u-blox Holding AG;EN;CG;2018;"https://www.u-blox.com/sites/default/files/documents/Corporate_Governance_2018.pdf"
u-blox Holding AG;EN;FR;2017;"https://www.u-blox.com/sites/default/files/documents/Financial_Report_16.03.2018-1.pdf"
u-blox Holding AG;EN;CG;2017;"https://www.u-blox.com/sites/default/files/documents/Corporate_Governance_2017_FINAL.pdf"
u-blox Holding AG;EN;AR;2016;"https://www.u-blox.com/sites/default/files/documents/Annual%20Report%202016.pdf"
u-blox Holding AG;EN;FR;2016;"https://www.u-blox.com/sites/default/files/documents/Corporate%20Governance%20and%20Financial%20Report%202016.pdf"
u-blox Holding AG;EN;AR;2015;"https://www.u-blox.com/sites/default/files/documents/Annual_Review_2015.pdf"
u-blox Holding AG;EN;FR;2015;"https://www.u-blox.com/sites/default/files/documents/Corporate_Governance_and_Financial_Report.pdf"
u-blox Holding AG;EN;RV;2014;"https://www.u-blox.com/sites/default/files/documents/annual_review_2014.pdf"
u-blox Holding AG;EN;FR;2014;"https://www.u-blox.com/sites/default/files/documents/financial_report_2014.pdf"
u-blox Holding AG;EN;AR;2013;"https://www.u-blox.com/sites/default/files/documents/u-blox_annual_report_2013.pdf"
u-blox Holding AG;EN;AR;2012;"https://www.u-blox.com/sites/default/files/documents/annual_report_2012.pdf"
u-blox Holding AG;EN;AR;2011;"https://www.u-blox.com/sites/default/files/documents/annual_report_2011.pdf"
u-blox Holding AG;EN;AR;2010;"https://www.u-blox.com/sites/default/files/documents/annual_report_2010.pdf"
u-blox Holding AG;EN;AR;2009;"https://www.u-blox.com/sites/default/files/annual_report_2009.pdf"
u-blox Holding AG;EN;AR;2008;"https://www.u-blox.com/sites/default/files/documents/AnnualReport_2008_Website_0.pdf"
u-blox Holding AG;EN;AR;2007;"https://www.u-blox.com/sites/default/files/documents/annual_report_2007.pdf"
