Company;Year;Type
ABB;2017;AR-EN
ABB;2017;SR-EN
Adecco;1996;AR-EN
Adecco;1997;AR-EN
Adecco;1998;AR-EN
Adecco;1999;AR-EN
Adecco;2000;AR-EN
Adecco;2001;AR-EN
Adecco;2002;AR-EN
Adecco;2003;AR-EN
Adecco;2004;AR-EN
Adecco;2005;AR-EN
Adecco;2006;AR-EN
Adecco;2007;AR-EN
Adecco;2008;AR-EN
Adecco;2009;AR-EN
Adecco;2010;AR-EN
Adecco;2011;AR-EN
Adecco;2012;AR-EN
Adecco;2013;AR-EN
Adecco;2014;AR-EN
Adecco;2015;AR-EN
Adecco;2016;AR-EN
Adecco;2017;AR-EN
Alternative Bank Schweiz;2015;SR-DE
Alternative Bank Schweiz;2016;SR-DE
Alternative Bank Schweiz;2017;SR-DE
Alternative Bank Schweiz;2018;SR-DE
Baloise;2014;AR-DE
Baloise;2014;AR-EN
Baloise;2015;AR-DE
Baloise;2015;AR-EN
Baloise;2016;AR-DE
Baloise;2016;AR-EN
Baloise;2017;AR-DE
Baloise;2017;AR-EN
Baloise;2018;AR-DE
Baloise;2018;AR-EN
Bank Vontobel;2014;SR-DE
Bank Vontobel;2015;SR-DE
Bank Vontobel;2016;SR-DE
Bank Vontobel;2017;SR-DE
Bank Vontobel;2018;SR-DE
Berner Kantonalbank;2009;AR-DE
Berner Kantonalbank;2010;AR-DE
Berner Kantonalbank;2011;AR-DE
Berner Kantonalbank;2012;AR-DE
Berner Kantonalbank;2013;AR-DE
Berner Kantonalbank;2014;AR-DE
Berner Kantonalbank;2015;AR-DE
Berner Kantonalbank;2015;SR-DE
Berner Kantonalbank;2016;AR-DE
Berner Kantonalbank;2016;SR-DE
Berner Kantonalbank;2017;AR-DE
Berner Kantonalbank;2017;SR-DE
Berner Kantonalbank;2018;AR-DE
Berner Kantonalbank;2018;SR-DE
Credit Suisse;2007;AR-EN
Credit Suisse;2007;SR-EN
Credit Suisse;2008;AR-EN
Credit Suisse;2008;SR-EN
Credit Suisse;2009;AR-EN
Credit Suisse;2009;SR-EN
Credit Suisse;2010;AR-EN
Credit Suisse;2010;SR-EN
Credit Suisse;2011;AR-EN
Credit Suisse;2011;CR-EN
Credit Suisse;2011;SR-EN
Credit Suisse;2012;AR-EN
Credit Suisse;2012;SR-EN
Credit Suisse;2013;AR-EN
